User ID,Username,Password,Name,Gender
1,user_a,Easy2Type!!!,Alice Brown,Female,14/05/1980
2,user_b,Easy2Type!,Bob Stone,Male,22/11/1975
3,user_c,Easy2Type!,Charlie White,Male,08/07/2002
4,sarah_lee,Easy2Type!!,Sarah Lee,Female,14/03/2010
5,john_smith,Easy2Type!,John Smith,Male,18/09/1975
6,emily_clarke,Easy2Type!,Emily Clarke,Female,25/02/2000
7,mark_lee,Easy2Type!!,Mark Lee,Male,02/05/1985
8,grace_tan,Easy2Type!,Grace Tan,Female,12/07/2001
9,john_lee,Easy2Type!,John Lee,Non-Binary,16/08/2003
10,james_tan,Easy2Type!,James Tan,Male,13/09/1998
11,jared_toh,Easy2Type!,Jared Toh,Male,13/04/1999
12,victoria_lee,Easy2Type!,Victoria Lee,Male,13/08/1990
13,jason_tan,Easy2Type!,Jason Tan,Male,24/01/1992
14,sophia_lim,Easy2Type!,Sophia Lim,Male,05/03/1996
15,michael_choo,Easy2Type!,Michael Choo,Male,14/07/1993
16,natalie_wong,Easy2Type!,Natalie Wong,Male,25/12/1998
17,benjamin_ho,Easy2Type!,Benjamin Ho,Male,02/04/1991
18,amelia_ng,Easy2Type!,Amelia Ng,Male,11/10/1995
19,kevin_tay,Easy2Type!,Kevin Tay,Male,09/02/1990
20,olivia_chan,Easy2Type!,Olivia Chan,Male,18/05/1997
21,daniel_koh,Easy2Type!,Daniel Koh,Male,06/09/1986
22,chloe_lau,Easy2Type!,Chloe Lau,Male,02/06/1994
23,ryan_ong,Easy2Type!,Ryan Ong,Male,20/11/1990
24,grace_lee,Easy2Type!,Grace Lee,Male,15/03/1998
25,ethan_ho,Easy2Type!,Ethan Ho,Male,30/09/1991
26,sarah_tan,Easy2Type!,Sarah Tan,Male,25/07/1995
27,aaron_lim,Easy2Type!,Aaron Lim,Male,09/12/1988
28,isabelle_chia,Easy2Type!,Isabelle Chia,Male,04/04/1997
29,jacob_loo,Easy2Type!,Jacob Loo,Male,17/08/1992
30,hannah_ng,Easy2Type!,Hannah Ng,Male,22/10/1993
31,lucas_tay,Easy2Type!,Lucas Tay,Male,11/01/1996
32,joel_lim,Easy2Type!,Joel Lim,Male,12/04/2003
33,amelia_tan,Easy2Type!,Amelia Tan,Female,24/06/1995
34,noah_ong,Easy2Type!,Noah Ong,Male,30/01/2000
35,grace_chen,Easy2Type!,Grace Chen,Non-Binary,10/08/1988
36,lucas_tay,Easy2Type!,Lucas Tay,Female,18/11/1992
37,olivia_lee,Easy2Type!,Olivia Lee,Male,05/07/2001
38,ethan_goh,Easy2Type!,Ethan Goh,Non-Binary,21/02/1998
39,sophia_ng,Easy2Type!,Sophia Ng,Female,17/09/1990
40,dylan_chia,Easy2Type!,Dylan Chia,Male,03/12/1986
